i,x,z,recall_naive,recall_naive_sc,recall_rerank
743,614.093,485.992,1,1,1
744,614.925,486.644,1,1,1
745,615.757,487.296,1,1,1
746,616.597,487.955,1,1,1
747,617.446,488.621,1,1,1
748,618.296,489.29,1,1,1
749,619.144,489.957,1,1,1
750,619.992,490.625,1,1,1
751,620.84,491.293,1,1,1
752,621.682,491.957,1,1,1
753,622.513,492.612,1,1,1
754,623.345,493.268,1,1,1
755,624.177,493.924,1,1,1
756,625.009,494.579,1,1,1
757,625.842,495.235,1,1,1
758,626.675,495.889,1,1,1
759,627.508,496.543,1,1,1
760,628.352,497.206,1,1,1
761,629.203,497.874,1,1,1
762,630.054,498.541,1,1,1
763,630.906,499.208,1,1,1
764,631.758,499.874,1,1,1
765,632.611,500.54,1,1,1
766,633.455,501.198,1,1,1
767,634.291,501.849,1,1,1
768,635.127,502.501,1,1,1
769,635.963,503.153,1,1,1
770,636.8,503.805,1,1,1
771,637.636,504.457,1,1,1
772,638.474,505.11,1,1,1
773,639.31,505.761,1,1,1
774,640.162,506.426,1,1,1
775,641.016,507.093,1,1,1
776,641.873,507.761,1,1,1
777,642.729,508.428,1,1,1
778,643.588,509.096,1,1,1
779,644.445,509.763,1,1,1
780,645.295,510.424,1,1,1
781,646.133,511.076,1,1,1
782,646.97,511.727,1,1,1
783,647.808,512.379,1,1,1
784,648.647,513.032,1,1,1
785,649.484,513.685,1,1,1
786,650.321,514.337,1,1,1
787,651.159,514.99,1,1,1
788,652.012,515.656,1,1,1
789,652.869,516.325,1,1,1
790,653.726,516.994,1,1,1
791,654.584,517.663,1,1,1
792,655.442,518.332,1,1,1
793,656.301,519.003,1,1,1
794,657.153,519.668,1,1,1
795,657.991,520.322,1,1,1
796,658.828,520.976,1,1,1
797,659.666,521.631,1,1,1
798,660.504,522.287,1,1,1
799,661.342,522.942,1,1,1
800,662.182,523.599,1,1,1
801,663.02,524.255,1,1,1
802,663.874,524.924,1,1,1
803,664.728,525.594,1,1,1
804,665.586,526.266,1,1,1
805,666.442,526.937,1,1,1
806,667.3,527.61,1,1,1
807,668.156,528.282,1,1,1
808,669.008,528.95,1,1,1
809,669.846,529.607,1,1,1
810,670.683,530.265,1,1,1
811,671.521,530.923,1,1,1
812,672.357,531.58,1,1,1
813,673.195,532.239,1,1,1
814,674.032,532.896,1,1,1
815,674.87,533.556,1,1,1
816,675.723,534.227,1,1,1
817,676.58,534.902,1,1,1
